STT,Mã ngành,Tên ngành,Điểm chuẩn,Năm
1,7540101,Công nghệ thực phẩm,21,2023
2,7540110,Đảm bảo chất lượng & ATTP,18,2023
3,7540105,Công nghệ chế biến thủy sản,16,2023
4,7340129,Quản trị kinh doanh thực phẩm,18,2023
5,7340101,Quản trị kinh doanh,21,2023
6,7340120,Kinh doanh quốc tế,21.5,2023
7,7340115,Marketing,22.5,2023
8,7340122,Thương mại điện tử,22,2023
9,7340301,Kế toán,20,2023
10,7340201,Tài chính ngân hàng,20.5,2023
11,7340205,Công nghệ tài chính,18.5,2023
12,7380107,Luật kinh tế,19,2023
13,7510401,Công nghệ kỹ thuật hóa học,16,2023
14,7510406,Công nghệ kỹ thuật môi trường,16,2023
15,7850101,Quản lý tài nguyên và môi trường,16,2023
16,7420201,Công nghệ sinh học,16,2023
17,7480201,Công nghệ thông tin,21,2023
18,7480202,An toàn thông tin,16.5,2023
19,7460108,Khoa học dữ liệu,16.75,2023
20,7340123,Kinh doanh thời trang và đệt may,16,2023
21,7540204,"Công nghệ đệt, may",16,2023
22,7510202,Công nghệ chế tạo máy,16,2023
23,7510203,Công nghệ kỹ thuật cơ điện tử,16,2023
24,7520115,Kỹ thuật nhiệt,16,2023
25,7510301,Công nghệ kỹ thuật Điện - Điện tử,16,2023
26,7510303,Công nghệ kỹ thuật điều khiến và tự động hóa,16.5,2023
27,7819009,Khoa học dinh dưỡng và ẩm thực,16,2023
28,7819010,Khoa học chế biến món ăn,16,2023
29,7810103,Quản trị dịch vụ du lịch và lữ hành,18,2023
30,7810202,Quản trị nhà hàng và dịch vụ ăn uống,18,2023
31,7810201,Quản tri khách sạn,18,2023
32,7220201,Ngôn ngữ Anh,21,2023
33,7220204,Ngôn ngữ Trung Quốc,21,2023
